feature,memory_bytes,memory_mb
V76,4724320,4.505463
V77,4724320,4.505463
V78,4724320,4.505463
V79,4724320,4.505463
V80,4724320,4.505463
V81,4724320,4.505463
V82,4724320,4.505463
V83,4724320,4.505463
V84,4724320,4.505463
V85,4724320,4.505463
V86,4724320,4.505463
V87,4724320,4.505463
V88,4724320,4.505463
V89,4724320,4.505463
V90,4724320,4.505463
V91,4724320,4.505463
V92,4724320,4.505463
V93,4724320,4.505463
V94,4724320,4.505463
V95,4724320,4.505463
V96,4724320,4.505463
V97,4724320,4.505463
V98,4724320,4.505463
V99,4724320,4.505463
V100,4724320,4.505463
V101,4724320,4.505463
V102,4724320,4.505463
V103,4724320,4.505463
V104,4724320,4.505463
V105,4724320,4.505463
V106,4724320,4.505463
V107,4724320,4.505463
V108,4724320,4.505463
V109,4724320,4.505463
V110,4724320,4.505463
V111,4724320,4.505463
V112,4724320,4.505463
V113,4724320,4.505463
V114,4724320,4.505463
V115,4724320,4.505463
V116,4724320,4.505463
V117,4724320,4.505463
V118,4724320,4.505463
V119,4724320,4.505463
V120,4724320,4.505463
V121,4724320,4.505463
V122,4724320,4.505463
V123,4724320,4.505463
V124,4724320,4.505463
V125,4724320,4.505463
V126,4724320,4.505463
V127,4724320,4.505463
V128,4724320,4.505463
V129,4724320,4.505463
V130,4724320,4.505463
V131,4724320,4.505463
V132,4724320,4.505463
V133,4724320,4.505463
V134,4724320,4.505463
V135,4724320,4.505463
V136,4724320,4.505463
V137,4724320,4.505463
V138,4724320,4.505463
V139,4724320,4.505463
V140,4724320,4.505463
V141,4724320,4.505463
V142,4724320,4.505463
V143,4724320,4.505463
V144,4724320,4.505463
V145,4724320,4.505463
V146,4724320,4.505463
V147,4724320,4.505463
V148,4724320,4.505463
V149,4724320,4.505463
V150,4724320,4.505463
V151,4724320,4.505463
V152,4724320,4.505463
V153,4724320,4.505463
V154,4724320,4.505463
V155,4724320,4.505463
V156,4724320,4.505463
V157,4724320,4.505463
V158,4724320,4.505463
V159,4724320,4.505463
V160,4724320,4.505463
V161,4724320,4.505463
V162,4724320,4.505463
V163,4724320,4.505463
V164,4724320,4.505463
V165,4724320,4.505463
V166,4724320,4.505463
V167,4724320,4.505463
V168,4724320,4.505463
V169,4724320,4.505463
V170,4724320,4.505463
V171,4724320,4.505463
V172,4724320,4.505463
V173,4724320,4.505463
V174,4724320,4.505463
V175,4724320,4.505463
V176,4724320,4.505463
V177,4724320,4.505463
V178,4724320,4.505463
V179,4724320,4.505463
V180,4724320,4.505463
V181,4724320,4.505463
V182,4724320,4.505463
V183,4724320,4.505463
V184,4724320,4.505463
V185,4724320,4.505463
V186,4724320,4.505463
V187,4724320,4.505463
V188,4724320,4.505463
V189,4724320,4.505463
V190,4724320,4.505463
V191,4724320,4.505463
V192,4724320,4.505463
V193,4724320,4.505463
V194,4724320,4.505463
V195,4724320,4.505463
V196,4724320,4.505463
V197,4724320,4.505463
V198,4724320,4.505463
V199,4724320,4.505463
V200,4724320,4.505463
V201,4724320,4.505463
V202,4724320,4.505463
V203,4724320,4.505463
V204,4724320,4.505463
V205,4724320,4.505463
V206,4724320,4.505463
V207,4724320,4.505463
V208,4724320,4.505463
V209,4724320,4.505463
V210,4724320,4.505463
V211,4724320,4.505463
V212,4724320,4.505463
V213,4724320,4.505463
V214,4724320,4.505463
V215,4724320,4.505463
V216,4724320,4.505463
V217,4724320,4.505463
V218,4724320,4.505463
V219,4724320,4.505463
V220,4724320,4.505463
V221,4724320,4.505463
V222,4724320,4.505463
V223,4724320,4.505463
V224,4724320,4.505463
V225,4724320,4.505463
V226,4724320,4.505463
V227,4724320,4.505463
V228,4724320,4.505463
V229,4724320,4.505463
V230,4724320,4.505463
V231,4724320,4.505463
V232,4724320,4.505463
V233,4724320,4.505463
V234,4724320,4.505463
V235,4724320,4.505463
V236,4724320,4.505463
V237,4724320,4.505463
V238,4724320,4.505463
V239,4724320,4.505463
V240,4724320,4.505463
V241,4724320,4.505463
V242,4724320,4.505463
V243,4724320,4.505463
V244,4724320,4.505463
V245,4724320,4.505463
V246,4724320,4.505463
V247,4724320,4.505463
V248,4724320,4.505463
V249,4724320,4.505463
V250,4724320,4.505463
V251,4724320,4.505463
V252,4724320,4.505463
V253,4724320,4.505463
V254,4724320,4.505463
V255,4724320,4.505463
V256,4724320,4.505463
V257,4724320,4.505463
V258,4724320,4.505463
V259,4724320,4.505463
V260,4724320,4.505463
V261,4724320,4.505463
V262,4724320,4.505463
V263,4724320,4.505463
V264,4724320,4.505463
V265,4724320,4.505463
V266,4724320,4.505463
V267,4724320,4.505463
V268,4724320,4.505463
V269,4724320,4.505463
V270,4724320,4.505463
V271,4724320,4.505463
V272,4724320,4.505463
V273,4724320,4.505463
V274,4724320,4.505463
V275,4724320,4.505463
V276,4724320,4.505463
V277,4724320,4.505463
V278,4724320,4.505463
V279,4724320,4.505463
V280,4724320,4.505463
V281,4724320,4.505463
V282,4724320,4.505463
V283,4724320,4.505463
V284,4724320,4.505463
V285,4724320,4.505463
V286,4724320,4.505463
V287,4724320,4.505463
V288,4724320,4.505463
V289,4724320,4.505463
V290,4724320,4.505463
V291,4724320,4.505463
V292,4724320,4.505463
V293,4724320,4.505463
V294,4724320,4.505463
V295,4724320,4.505463
V296,4724320,4.505463
V297,4724320,4.505463
V298,4724320,4.505463
V299,4724320,4.505463
V300,4724320,4.505463
V301,4724320,4.505463
V302,4724320,4.505463
V303,4724320,4.505463
V304,4724320,4.505463
V305,4724320,4.505463
V306,4724320,4.505463
V307,4724320,4.505463
V308,4724320,4.505463
V309,4724320,4.505463
V310,4724320,4.505463
V311,4724320,4.505463
V312,4724320,4.505463
V313,4724320,4.505463
V314,4724320,4.505463
V315,4724320,4.505463
V316,4724320,4.505463
V317,4724320,4.505463
V318,4724320,4.505463
V319,4724320,4.505463
V320,4724320,4.505463
V321,4724320,4.505463
V322,4724320,4.505463
V323,4724320,4.505463
V324,4724320,4.505463
V325,4724320,4.505463
V326,4724320,4.505463
V327,4724320,4.505463
V328,4724320,4.505463
V329,4724320,4.505463
V330,4724320,4.505463
V331,4724320,4.505463
V332,4724320,4.505463
V333,4724320,4.505463
V334,4724320,4.505463
V335,4724320,4.505463
V336,4724320,4.505463
V337,4724320,4.505463
V338,4724320,4.505463
V339,4724320,4.505463
id_01,4724320,4.505463
id_02,4724320,4.505463
id_03,4724320,4.505463
id_04,4724320,4.505463
id_05,4724320,4.505463
id_06,4724320,4.505463
id_07,4724320,4.505463
id_08,4724320,4.505463
id_09,4724320,4.505463
id_10,4724320,4.505463
id_11,4724320,4.505463
id_12,5888378,5.615595
id_13,4724320,4.505463
id_14,4724320,4.505463
id_15,5403129,5.152825
id_16,5633886,5.372892
id_17,4724320,4.505463
id_18,4724320,4.505463
id_19,4724320,4.505463
id_20,4724320,4.505463
id_21,4724320,4.505463
id_22,4724320,4.505463
id_23,4896331,4.669505
id_24,4724320,4.505463
id_25,4724320,4.505463
id_26,4724320,4.505463
id_27,4824025,4.600549
id_28,5373536,5.124603
id_29,5701184,5.437073
id_30,5636100,5.375004
id_31,6957400,6.635094
id_32,4724320,4.505463
id_33,5426654,5.175261
id_34,5887411,5.614673
id_35,4939123,4.710315
id_36,4939123,4.710315
id_37,4939123,4.710315
id_38,4939123,4.710315
DeviceType,5728163,5.462802
DeviceInfo,6111034,5.827936
