feature,unique_count,unique_pct
V218,401,0.0679
id_20,394,0.0667
V338,380,0.0643
V219,379,0.0642
id_11,365,0.0618
V336,356,0.0603
id_25,341,0.0577
V232,338,0.0572
V339,334,0.0566
V233,333,0.0564
addr1,332,0.0562
C5,319,0.054
V217,304,0.0515
V231,294,0.0498
V145,260,0.044
id_33,260,0.044
V337,254,0.043
V291,219,0.0371
V187,215,0.0364
C9,205,0.0347
V162,185,0.0313
V292,173,0.0293
V269,151,0.0256
V334,143,0.0242
id_31,130,0.022
V234,122,0.0207
card5,119,0.0202
card3,114,0.0193
V163,106,0.0179
id_17,104,0.0176
id_06,101,0.0171
V105,100,0.0169
V329,100,0.0169
V285,96,0.0163
id_26,95,0.0161
V296,94,0.0159
V298,94,0.0159
id_08,94,0.0159
id_05,93,0.0157
V229,91,0.0154
V99,89,0.0151
V180,84,0.0142
V182,84,0.0142
id_07,84,0.0142
V226,81,0.0137
V161,79,0.0134
V224,79,0.0134
V221,77,0.013
id_01,77,0.013
V222,76,0.0129
id_30,75,0.0127
addr2,74,0.0125
V259,68,0.0115
V258,67,0.0113
V230,66,0.0112
V253,66,0.0112
V144,63,0.0107
V171,62,0.0105
V283,62,0.0105
id_10,62,0.0105
R_emaildomain,60,0.0102
P_emaildomain,59,0.01
V245,58,0.0098
V290,58,0.0098
V106,56,0.0095
V151,56,0.0095
V201,56,0.0095
V330,56,0.0095
V228,55,0.0093
V37,55,0.0093
V38,55,0.0093
id_13,54,0.0091
V56,52,0.0088
V227,50,0.0085
V299,50,0.0085
V170,49,0.0083
V176,49,0.0083
V257,49,0.0083
V44,49,0.0083
V45,49,0.0083
V256,48,0.0081
V199,46,0.0078
V200,46,0.0078
V236,46,0.0078
V246,46,0.0078
V255,46,0.0078
id_09,46,0.0078
V192,45,0.0076
V254,45,0.0076
V326,45,0.0076
V190,43,0.0073
V243,43,0.0073
V183,42,0.0071
V261,41,0.0069
V237,40,0.0068
V152,39,0.0066
V186,39,0.0066
V196,39,0.0066
V193,38,0.0064
V225,35,0.0059
V139,34,0.0058
V140,34,0.0058
V282,33,0.0056
V172,32,0.0054
V185,32,0.0054
V287,32,0.0054
V78,32,0.0054
V188,31,0.0052
V189,31,0.0052
V77,31,0.0052
V86,31,0.0052
V87,31,0.0052
V100,29,0.0049
C3,27,0.0046
V147,27,0.0046
V220,26,0.0044
V146,25,0.0042
V155,25,0.0042
V156,25,0.0042
V157,25,0.0042
V158,25,0.0042
V181,25,0.0042
V252,25,0.0042
id_14,25,0.0042
id_22,25,0.0042
D9,24,0.0041
V235,24,0.0041
V238,24,0.0041
V239,24,0.0041
id_03,24,0.0041
V138,23,0.0039
V244,23,0.0039
V248,23,0.0039
V249,23,0.0039
V281,23,0.0039
V191,22,0.0037
V198,22,0.0037
V148,21,0.0036
V149,21,0.0036
V242,21,0.0036
V262,21,0.0036
V303,21,0.0036
V169,20,0.0034
V80,20,0.0034
V81,20,0.0034
V153,19,0.0032
V154,19,0.0032
V247,19,0.0032
V250,19,0.0032
V251,19,0.0032
V327,19,0.0032
V40,18,0.003
V55,18,0.003
id_18,18,0.003
V184,17,0.0029
V195,17,0.0029
V223,17,0.0029
V302,17,0.0029
V304,17,0.0029
V59,17,0.0029
V60,17,0.0029
V104,16,0.0027
V17,16,0.0027
V18,16,0.0027
V328,16,0.0027
V39,16,0.0027
V16,15,0.0025
V175,15,0.0025
V197,15,0.0025
V20,15,0.0025
V32,15,0.0025
id_04,15,0.0025
V123,14,0.0024
V124,14,0.0024
V125,14,0.0024
V23,14,0.0024
V24,14,0.0024
V301,14,0.0024
V26,13,0.0022
V284,13,0.0022
V289,13,0.0022
V297,13,0.0022
V325,13,0.0022
V34,13,0.0022
V98,13,0.0022
V300,12,0.002
id_24,12,0.002
V288,11,0.0019
V58,11,0.0019
V62,11,0.0019
V72,11,0.0019
V111,10,0.0017
V112,10,0.0017
V113,10,0.0017
V142,10,0.0017
V3,10,0.0017
V6,10,0.0017
V7,10,0.0017
V174,9,0.0015
V2,9,0.0015
V22,9,0.0015
V260,9,0.0015
V286,9,0.0015
V42,9,0.0015
V43,9,0.0015
V47,9,0.0015
V52,9,0.0015
V67,9,0.0015
V74,9,0.0015
V8,9,0.0015
V9,9,0.0015
V108,8,0.0014
V109,8,0.0014
V110,8,0.0014
V15,8,0.0014
V173,8,0.0014
V19,8,0.0014
V194,8,0.0014
V30,8,0.0014
V31,8,0.0014
V63,8,0.0014
V64,8,0.0014
V66,8,0.0014
V73,8,0.0014
V79,8,0.0014
V82,8,0.0014
V83,8,0.0014
V84,8,0.0014
V85,8,0.0014
V92,8,0.0014
V93,8,0.0014
V114,7,0.0012
V115,7,0.0012
V116,7,0.0012
V13,7,0.0012
V25,7,0.0012
V33,7,0.0012
V4,7,0.0012
V46,7,0.0012
V5,7,0.0012
V51,7,0.0012
V54,7,0.0012
V57,7,0.0012
V61,7,0.0012
V70,7,0.0012
V71,7,0.0012
V76,7,0.0012
V91,7,0.0012
V11,6,0.001
V141,6,0.001
V21,6,0.001
V240,6,0.001
V29,6,0.001
V36,6,0.001
V48,6,0.001
V49,6,0.001
V50,6,0.001
V53,6,0.001
V69,6,0.001
V90,6,0.001
ProductCD,5,0.0008
V10,5,0.0008
V241,5,0.0008
V75,5,0.0008
V117,4,0.0007
V118,4,0.0007
V119,4,0.0007
V12,4,0.0007
V120,4,0.0007
V121,4,0.0007
V122,4,0.0007
V27,4,0.0007
V28,4,0.0007
V35,4,0.0007
card4,4,0.0007
card6,4,0.0007
id_32,4,0.0007
id_34,4,0.0007
M4,3,0.0005
V68,3,0.0005
V89,3,0.0005
V94,3,0.0005
id_15,3,0.0005
id_23,3,0.0005
DeviceType,2,0.0003
M1,2,0.0003
M2,2,0.0003
M3,2,0.0003
M5,2,0.0003
M6,2,0.0003
M7,2,0.0003
M8,2,0.0003
M9,2,0.0003
V1,2,0.0003
V107,2,0.0003
V14,2,0.0003
V305,2,0.0003
V41,2,0.0003
V65,2,0.0003
V88,2,0.0003
id_12,2,0.0003
id_16,2,0.0003
id_27,2,0.0003
id_28,2,0.0003
id_29,2,0.0003
id_35,2,0.0003
id_36,2,0.0003
id_37,2,0.0003
id_38,2,0.0003
isFraud,2,0.0003
