feature,missing_count,missing_pct
V263,460110,77.9134
V264,460110,77.9134
V265,460110,77.9134
V266,460110,77.9134
V267,460110,77.9134
V268,460110,77.9134
V269,460110,77.9134
V273,460110,77.9134
V274,460110,77.9134
V275,460110,77.9134
V276,460110,77.9134
V277,460110,77.9134
V278,460110,77.9134
id_05,453675,76.8238
id_06,453675,76.8238
R_emaildomain,453249,76.7516
id_20,451279,76.418
id_19,451222,76.4084
id_17,451171,76.3997
V167,450909,76.3554
V168,450909,76.3554
V172,450909,76.3554
V173,450909,76.3554
V176,450909,76.3554
V177,450909,76.3554
V178,450909,76.3554
V179,450909,76.3554
V181,450909,76.3554
V182,450909,76.3554
V183,450909,76.3554
V186,450909,76.3554
V187,450909,76.3554
V190,450909,76.3554
V191,450909,76.3554
V192,450909,76.3554
V193,450909,76.3554
V196,450909,76.3554
V199,450909,76.3554
V202,450909,76.3554
V203,450909,76.3554
V204,450909,76.3554
V205,450909,76.3554
V206,450909,76.3554
V207,450909,76.3554
V211,450909,76.3554
V212,450909,76.3554
V213,450909,76.3554
V214,450909,76.3554
V215,450909,76.3554
V216,450909,76.3554
V169,450721,76.3235
V170,450721,76.3235
V171,450721,76.3235
V174,450721,76.3235
V175,450721,76.3235
V180,450721,76.3235
V184,450721,76.3235
V185,450721,76.3235
V188,450721,76.3235
V189,450721,76.3235
V194,450721,76.3235
V195,450721,76.3235
V197,450721,76.3235
V198,450721,76.3235
V200,450721,76.3235
V201,450721,76.3235
V208,450721,76.3235
V209,450721,76.3235
V210,450721,76.3235
id_31,450258,76.2451
DeviceType,449730,76.1557
id_02,449668,76.1452
id_11,449562,76.1273
id_28,449562,76.1273
id_29,449562,76.1273
id_15,449555,76.1261
id_35,449555,76.1261
id_36,449555,76.1261
id_37,449555,76.1261
id_38,449555,76.1261
V220,449124,76.0531
V221,449124,76.0531
V222,449124,76.0531
V227,449124,76.0531
V234,449124,76.0531
V238,449124,76.0531
V239,449124,76.0531
V245,449124,76.0531
V250,449124,76.0531
V251,449124,76.0531
V255,449124,76.0531
V256,449124,76.0531
V259,449124,76.0531
V270,449124,76.0531
V271,449124,76.0531
V272,449124,76.0531
id_01,446307,75.5761
id_12,446307,75.5761
dist1,352271,59.6524
M5,350482,59.3494
M7,346265,58.6353
M8,346252,58.6331
M9,346252,58.6331
D5,309841,52.4674
M4,281444,47.6588
D2,280797,47.5492
D11,279287,47.2935
V1,279287,47.2935
V10,279287,47.2935
V11,279287,47.2935
V2,279287,47.2935
V3,279287,47.2935
V4,279287,47.2935
V5,279287,47.2935
V6,279287,47.2935
V7,279287,47.2935
V8,279287,47.2935
V9,279287,47.2935
M1,271100,45.9071
M2,271100,45.9071
M3,271100,45.9071
D3,262878,44.5149
M6,169360,28.6788
V35,168969,28.6126
V36,168969,28.6126
V37,168969,28.6126
V38,168969,28.6126
V39,168969,28.6126
V40,168969,28.6126
V41,168969,28.6126
V42,168969,28.6126
V43,168969,28.6126
V44,168969,28.6126
V45,168969,28.6126
V46,168969,28.6126
V47,168969,28.6126
V48,168969,28.6126
V49,168969,28.6126
V50,168969,28.6126
V51,168969,28.6126
V52,168969,28.6126
D4,168922,28.6047
P_emaildomain,94456,15.9949
V75,89164,15.0987
V76,89164,15.0987
V77,89164,15.0987
V78,89164,15.0987
V79,89164,15.0987
V80,89164,15.0987
V81,89164,15.0987
V82,89164,15.0987
V83,89164,15.0987
V84,89164,15.0987
V85,89164,15.0987
V86,89164,15.0987
V87,89164,15.0987
V88,89164,15.0987
V89,89164,15.0987
V90,89164,15.0987
V91,89164,15.0987
V92,89164,15.0987
V93,89164,15.0987
V94,89164,15.0987
D15,89113,15.0901
V53,77096,13.0552
V54,77096,13.0552
V55,77096,13.0552
V56,77096,13.0552
V57,77096,13.0552
V58,77096,13.0552
V59,77096,13.0552
V60,77096,13.0552
V61,77096,13.0552
V62,77096,13.0552
V63,77096,13.0552
V64,77096,13.0552
V65,77096,13.0552
V66,77096,13.0552
V67,77096,13.0552
V68,77096,13.0552
V69,77096,13.0552
V70,77096,13.0552
V71,77096,13.0552
V72,77096,13.0552
V73,77096,13.0552
V74,77096,13.0552
V12,76073,12.8819
V13,76073,12.8819
V14,76073,12.8819
V15,76073,12.8819
V16,76073,12.8819
V17,76073,12.8819
V18,76073,12.8819
V19,76073,12.8819
V20,76073,12.8819
V21,76073,12.8819
V22,76073,12.8819
V23,76073,12.8819
V24,76073,12.8819
V25,76073,12.8819
V26,76073,12.8819
V27,76073,12.8819
V28,76073,12.8819
V29,76073,12.8819
V30,76073,12.8819
V31,76073,12.8819
V32,76073,12.8819
V33,76073,12.8819
V34,76073,12.8819
D10,76022,12.8733
addr1,65706,11.1264
addr2,65706,11.1264
card2,8933,1.5127
card5,4259,0.7212
card4,1577,0.267
card6,1571,0.266
card3,1565,0.265
D1,1269,0.2149
V281,1269,0.2149
V282,1269,0.2149
V283,1269,0.2149
V288,1269,0.2149
V289,1269,0.2149
V296,1269,0.2149
V300,1269,0.2149
V301,1269,0.2149
V313,1269,0.2149
V314,1269,0.2149
V315,1269,0.2149
V100,314,0.0532
V101,314,0.0532
V102,314,0.0532
V103,314,0.0532
V104,314,0.0532
V105,314,0.0532
V106,314,0.0532
V107,314,0.0532
V108,314,0.0532
V109,314,0.0532
V110,314,0.0532
V111,314,0.0532
V112,314,0.0532
V113,314,0.0532
V114,314,0.0532
V115,314,0.0532
V116,314,0.0532
V117,314,0.0532
V118,314,0.0532
V119,314,0.0532
V120,314,0.0532
V121,314,0.0532
V122,314,0.0532
V123,314,0.0532
V124,314,0.0532
V125,314,0.0532
V126,314,0.0532
V127,314,0.0532
V128,314,0.0532
V129,314,0.0532
V130,314,0.0532
V131,314,0.0532
V132,314,0.0532
V133,314,0.0532
V134,314,0.0532
V135,314,0.0532
V136,314,0.0532
V137,314,0.0532
V95,314,0.0532
V96,314,0.0532
V97,314,0.0532
V98,314,0.0532
V99,314,0.0532
V279,12,0.002
V280,12,0.002
V284,12,0.002
V285,12,0.002
V286,12,0.002
V287,12,0.002
V290,12,0.002
V291,12,0.002
V292,12,0.002
V293,12,0.002
V294,12,0.002
V295,12,0.002
V297,12,0.002
V298,12,0.002
V299,12,0.002
V302,12,0.002
V303,12,0.002
V304,12,0.002
V305,12,0.002
V306,12,0.002
V307,12,0.002
V308,12,0.002
V309,12,0.002
V310,12,0.002
V311,12,0.002
V312,12,0.002
V316,12,0.002
V317,12,0.002
V318,12,0.002
V319,12,0.002
V320,12,0.002
V321,12,0.002
C1,0,0.0
C10,0,0.0
C11,0,0.0
C12,0,0.0
C13,0,0.0
C14,0,0.0
C2,0,0.0
C3,0,0.0
C4,0,0.0
C5,0,0.0
C6,0,0.0
C7,0,0.0
C8,0,0.0
C9,0,0.0
ProductCD,0,0.0
TransactionAmt,0,0.0
TransactionDT,0,0.0
TransactionID,0,0.0
card1,0,0.0
isFraud,0,0.0
